"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","occurrenceRemarks","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","barcode","imagecode","preparationType","individualCount","infraspecificEpithet","typeStatus","class","order"
"23","2019-11-06 10:17:17-03","UFOP","OUPR","29551","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia",NA,"Eugenia",NA,"Echternacht, L.; Pignal, M.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Mutuca de Cima. Próximo à Cachoeira Alta.","-43.567361","-19.505361","-43.567361","-19.505361","1184","1184","2678","Árvore frondosa, com cerca de 10 m de altura. Hipanto avermelhado, cálice verde, corola e estames creme.; Interior de Floresta Estacional Semi-decidual.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-03-12 10:29:07-03","UFOP","OUPR","32277","PreservedSpecimen","Plantae",NA,"Euphorbiaceae",NA,NA,NA,NA,"Pignal, M.; Echternacht, L.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira","-43.573611","-19.505361","-43.573611","-19.505361","1184","1184","4977","Grimpante. Feuilles opposées. Inflorescence portant de multiples tiges à chaque nSud, ceux-ci formant un plan, decussé avec le suivant. Forêt atlantique, Forêt secondaire.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-06 09:55:18-03","UFOP","OUPR","32265","PreservedSpecimen","Plantae",NA,"Fabaceae",NA,NA,NA,NA,"Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima, Cachoeira da Garça.","-43.555833","-19.491194","-43.555833","-19.491194","1295","1295","4966","Petit arbre de 3 m environ. Folioles glauque dessous. Inflorescence à fl jaunes. Campo rupestre, à proximité d#?#un rio. Substrat sableux.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-06 10:13:51-03","UFOP","OUPR","29423","PreservedSpecimen","Plantae",NA,"Annonaceae","Guatteria",NA,"Guatteria",NA,"Echternacht, L.","2014","01","25","Brasil","Minas Gerais","Nova União","Altamira, Vale de Altamira, Região de Floresta Atlântica, localidade de Mutuca de cima. Córrego da Cachoeira do Marimbondo.","-43.567583","-19.518528","-43.567583","-19.518528","118","118","2383","árvore. Tépalas verdes, estames amarelos.; Mata de galeria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-06 09:57:53-03","UFOP","OUPR","32271","PreservedSpecimen","Plantae",NA,"Verbenaceae","Lippia","lupulina","Lippia lupulina","Echternacht, L.","Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima.","-43.5725","-19.508","-43.5725","-19.508","1448","1448","4971","Arbuste de moins d#?#un mètre. Inflorescence à bractées développées rose vif (couleur bougainvillier). Campo rupestre. Zone herbacée. Substrat sableux.","Cham.","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-06 09:55:33-03","UFOP","OUPR","32269","PreservedSpecimen","Plantae",NA,"Fabaceae","Lupinus",NA,"Lupinus",NA,"Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima.","-43.545806","-19.515833","-43.545806","-19.515833","1451","1451","4969","Petit arbuste ligeux de moins de 70 cm à tiges enfouies assez profondément dans le sol. . Feuilles rigides, pliées, entières. Base progressivement atténuée, sub-sessile. Axes laineux. Fleurs violettes. Styles subsistant sur le fruit. Campo rupestre.","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-06 10:13:51-03","UFOP","OUPR","29411","PreservedSpecimen","Plantae",NA,"Asteraceae","Lychnophora",NA,"Lychnophora",NA,"Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.57","-19.492806","-43.57","-19.492806","142","142","2359","Arbusto, ca. 1,5 m de altura, corola roxa.; Campo Rupestre, vegetação herbáceo-arbustiva, rala, solo pedregoso, quartzoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-06 09:56:28-03","UFOP","OUPR","32270","PreservedSpecimen","Plantae",NA,"Melastomataceae","Microlicia",NA,"Microlicia",NA,"Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima.","-43.537083","-19.497417","-43.537083","-19.497417","1353","1353","4970","Arbuste de 1,5 m environ. Feuillage éricoïde. Feuille charnue un peu molle. Fleur à P blanc, étamines jaunes devenant orange vif. Campo rupestre. Zone herbacée. Substrat sableux.","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-06 10:17:17-03","UFOP","OUPR","29548","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,"Echternacht, L.; Pignal, M.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Mutuca de Cima. Próximo à Cachoeira Alta.","-43.564778","-19.508278","-43.564778","-19.508278","1159","1159","2675","Árvore com cerca de 6 m de altura, abundante localmente. Flores brancas.; Borda de mata de galeria, próximo à estrada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-06 10:17:17-03","UFOP","OUPR","29545","PreservedSpecimen","Plantae",NA,"Myrtaceae",NA,NA,NA,NA,"Echternacht, L.; Pignal, M.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Trilha para a Cachoeira da Garça. Campo rupestre, com afloramentos quartzosos, campo limpo e matas ciliares.","-43.55225","-19.508","-43.55225","-19.508","1448","1448","2672","Arbusto, com cerca de 1 m de altura. Flores brancas de odor adocicado.; Planta entre afloramentos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-06 09:56:44-03","UFOP","OUPR","32266","PreservedSpecimen","Plantae",NA,"Ochnaceae",NA,NA,NA,NA,"Pignal, M.; Echternacht, L.","2016","09","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima, Cachoeira da Garça.","-43.553056","-19.493417","-43.553056","-19.493417","1303","1303","4967","Petit arbuste de moins d#?#un mètre. Inflorescence dense jaune. Feuilles glabre à nervure principale plus pâle. Anthères oranges. Campo rupestre. Zone herbacée. Substrat sableux.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-06 10:13:54-03","UFOP","OUPR","29412","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus",NA,"Paepalanthus","Tissot-Squalli, M.","Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.572889","-19.488028","-43.572889","-19.488028","1456","1456","2361","População abundante localmente. Folhas densamente pilosas, espata glabra, brácteas involucrais cor-de-palha. População em início de floração, indivíduos em ântese. Borda da população simpátrica com Paepalanthus vellozioides, aparentemente hibridizand",NA,"2013","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-06 10:13:54-03","UFOP","OUPR","29414","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus",NA,"Paepalanthus",NA,"Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","17","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para o Cruzeiro no alto da Serra, a oeste do vale.","-43.57","-19.500556","-43.57","-19.500556","1370","1370","2363","População abundante localmente, em final de floração. Folhas argenteas.; Campo Rupestre, vegetação herbácea rala, solo pedregoso, quartzoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-06 10:13:55-03","UFOP","OUPR","29391","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus","nigrescens","Paepalanthus nigrescens","Echternacht, L.","Echternacht, L.; Bastos, T.V.","2013","08","11","Brasil","Minas Gerais","Nova União","Altamira, Na vertente leste do vale de Altamira, no inicio da trilha para a cachoeira Braúnas, na parte mais alta da trilha antes de virar a serra.","-43.554583","-19.510889","-43.554583","-19.510889","138","138","2320","População abundante localmente.; Campo rupestre de formação quartzoza. Solo pedregoso, arenoso, seco.","Silveira","2013","08","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-06 10:13:55-03","UFOP","OUPR","29392","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus","superbus","Paepalanthus superbus","Echternacht, L.","Echternacht, L.; Bastos, T.V.","2013","08","11","Brasil","Minas Gerais","Nova União","Altamira, Na vertente leste do vale de Altamira, no inicio da trilha para a cachoeira Braúnas.","-43.552","-19.507444","-43.552","-19.507444","143","143","2321","População abundante localmente. Plantas com o caule alongado a curto.; Campo rupestre quartzoso. Vegetação herbáceo-arbustiva. Solo pedregoso, arenoso.","Ruhland","2013","08","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-06 10:13:55-03","UFOP","OUPR","29405","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus","superbus","Paepalanthus superbus","Echternacht, L.","Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.569444","-19.491361","-43.569444","-19.491361","1439","1439","2352","População com indivíduos relativamente grandes, em beira de córrego. Abundante localmente.; Campo Rupestre, campo limpo, vegetação rala, solo turfoso, quartzoso.","Ruhland","2013","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-06 10:13:55-03","UFOP","OUPR","29406","PreservedSpecimen","Plantae",NA,"Eriocaulaceae","Paepalanthus","superbus","Paepalanthus superbus","Echternacht, L.","Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.569444","-19.491361","-43.569444","-19.491361","1439","1439","2353","População com indivíduos relativamente pequenos.; Campo Rupestre, campo limpo, vegetação rala, solo pedregoso, quartzoso.","Ruhland","2013","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-06 10:13:51-03","UFOP","OUPR","29550","PreservedSpecimen","Plantae",NA,NA,NA,NA,NA,NA,"Echternacht, L.; Pignal, M.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Mutuca de Cima. Próximo à Cachoeira Alta.","-43.567361","-19.505361","-43.567361","-19.505361","1184","1184","2677","Árvore em sub-estrato florestal, com cerca de 6 m de altura. Frutos imaturos verdes.; Interior de Floresta Estacional Semi-decidual.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-06 10:17:17-03","UFOP","OUPR","29552","PreservedSpecimen","Plantae",NA,"Myrtaceae","Plinia","cauliflora","Plinia cauliflora",NA,"Echternacht, L.; Pignal, M.","2016","09","18","Brasil","Minas Gerais","Nova União","Altamira, Serra do Cipó. Mutuca de Cima.","-43.562","-19.515636","-43.562","-19.515636","1137","1137","2679","Árvore frondosa com cerca de 10 m de altura. Pedúnculo e sépalas esverdeados, pétalas e estames brancos. Frutos maduros, pericarpo negro, endocarpo creme, suculento e doce.; Em área rural.","(Mart.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-06 10:13:51-03","UFOP","OUPR","29410","PreservedSpecimen","Plantae",NA,"Asteraceae","Prestelia","eriopus","Prestelia eriopus","J. Nakajima","Echternacht, L.; Bastos, T.V.; Giulietti-Harley, A.M.; Harley, R.M.; Trovó, M.L.O.; Stutzel, T.;","2013","11","16","Brasil","Minas Gerais","Nova União","Altamira, Mutuca de Cima. Trilha no fundo do vale, para a Lagoa Dourada. Alto da Serra.","-43.57","-19.492806","-43.57","-19.492806","142","142","2358","População abundante localmente, rizoma presente, corola rocha, papus ferrugíneos no fruto.; Campo Rupestre, vegetação herbácea rala, solo pedregoso, quartzoso.","Sch.Bip.","2013","12","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
