"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet"
"11","2019-11-21 10:05:13-03","IBt","SP","159849","S","Plantae",NA,"Fabaceae","Chamaecrista","nictitans","Chamaecrista nictitans disadena","(Steud.) H.S.Irwin & Barneby","Irwin, HS; Barneby, RC","1982",NA,NA,"Davidse, G; D'Arcy, WG","11439","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","ca. 19km S of the intersection of highway BR 116 & BR 262 just N of the village of São João de Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,"SP024519","auto","SP024519","800","800","disadena"
"12","2019-11-21 10:15:42-03","IBt","SP","161198","S","Plantae",NA,"Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Zuloaga, FO","1985","05",NA,"Davidse, G; D'Arcy, WG","11454","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of highway BR-116 & BR- 262, just Nof the village of São João do Manhaçu.","-42.1514015197754","-20.3936004638672","12399",NA,"SP033453","auto","SP033453","800","800",NA
"13","2019-11-21 10:06:42-03","IBt","SP","161160","S","Plantae",NA,"Fabaceae","Stryphnodendron","polyphyllum","Stryphnodendron polyphyllum","Mart.","Scalon, VR","2008","02","06","Davidse, G; D'Arcy, WG","11444","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of highway BR 116 & BR 262, just N of the village of São João do Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800",NA
"14","2019-11-21 10:16:28-03","IBt","SP","161196","S","Plantae",NA,"Poaceae","Paspalum","mandiocanum","Paspalum mandiocanum","Trin.","Davidse, G","1976",NA,NA,"Davidse, G; D'Arcy, WG","11452","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of highway BR-116 & BR-262, just N of the village of São João do Manhuaçu.","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,NA,NA,NA
"15","2019-11-21 10:16:35-03","IBt","SP","161197","S","Plantae",NA,"Poaceae","Paspalum","regnellii","Paspalum regnellii","Mez","Gomes, MJIR","1991","11",NA,"Davidse, G; D'Arcy, WG","11453","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of highway BR-116 & BR-262, just N of the village of São João do Manhuaçu.","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800",NA
"16","2019-11-21 10:17:30-03","IBt","SP","159847","S","Plantae",NA,"Rubiaceae","Borreria","palustris","Borreria palustris","(Cham. & Schltdl.) Bacigalupo & E.L.Cabral","Souza, EB","2005",NA,NA,"Davidse, G; D'Arcy, WG","11434","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of Highway BR-116 & BR-262 just N of the village of São João do Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,NA,NA,NA
"17","2019-11-21 10:04:45-03","IBt","SP","159850","S","Plantae",NA,"Fabaceae","Aeschynomene","sensitiva","Aeschynomene sensitiva hispidula","(Kunth) Rudd","Antunes, LLC","2017","03","13","Davidse, G; D'Arcy, WG","11440","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","ca. 19km S of the intersection of highway BR 116 & BR 262, just N of the village of S.João do Manhaçu","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800","hispidula"
"18","2019-11-21 10:06:42-03","IBt","SP","161157","S","Plantae",NA,"Fabaceae","Stylosanthes",NA,"Stylosanthes",NA,NA,NA,NA,NA,"Davidse, G; D'Arcy, WG","11441","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of highway BR-116 - BR-262, just of the village of São João do Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,NA,NA,NA
"19","2019-11-21 10:06:08-03","IBt","SP","202977","S","Plantae",NA,"Fabaceae","Mimosa","bimucronata","Mimosa bimucronata","(DC.) Kuntze","Mamede, MCH","2008","12",NA,"Davidse, G; Ramamoorthy, TP; Vital, DM","11456","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19km S of the intersection of Highways BR-116 and BR-262, just N of the village of São João do Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,"SP025503","auto","SP025503","800","800",NA
"20","2019-11-21 10:16:29-03","IBt","SP","161195","S","Plantae",NA,"Poaceae","Paspalum","maritimum","Paspalum maritimum","Trin.","Davidse, G","1976",NA,NA,"Davidse, G; D'Arcy, WG","11451","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of highways BR-116 & BR-262, just N of the village of São João do Manhuaçu.","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800",NA
"21","2019-11-21 10:16:09-03","IBt","SP","159875","S","Plantae",NA,"Poaceae","Panicum","dichotomiflorum","Panicum dichotomiflorum","Michx.","Guglieri, A","2004","03","19","Davidse, G; D'Arcy, WG","11437","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of highways BR-116 & BR-262 just N of village of São João do Manhuaçu.","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800",NA
"22","2019-11-21 10:06:05-03","IBt","SP","159852","S","Plantae",NA,"Fabaceae","Mimosa",NA,"Mimosa",NA,NA,NA,NA,NA,"Davidse, G; D'Arcy, WG","11456","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of Highways BR-116 e BR-262 just N of the village of São João do Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800",NA
"23","2019-11-21 10:16:20-03","IBt","SP","159874","S","Plantae",NA,"Poaceae","Paspalum","boscianum","Paspalum boscianum","Flüggé",NA,NA,NA,NA,"Davidse, G; D'Arcy, WG","11436","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S the intersection of highway BR-116 & BR-262 N of the village of São João do Manhuaçu.","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,NA,NA,NA
