"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","year","locality","month","day","barcode","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","phylum","class","order"
"13","2017-09-11 17:12:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Passifloraceae","Passiflora","rotundifolia","Passiflora rotundifolia","L.",NA,NA,NA,NA,"Burchell, WJ","5904","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5905","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5900","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5899","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5898","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5887","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5883","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5882","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5894","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5884","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5895","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5903","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5889","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5892","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5901","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5890","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5897","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5902","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5906","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5885","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5907","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2017-09-11 17:05:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burchell, WJ","5893","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:07:27-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Asteraceae","Aspilia","burchellii","Aspilia burchellii","Sch.Bip. ex Baker",NA,NA,NA,NA,"Burchell, WJ","5888","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:12:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Poaceae","Axonopus","brasiliensis","Axonopus brasiliensis","(Spreng.) Kuhlm.",NA,NA,NA,NA,"Burchell, WJ","5886","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 16:28:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Rubiaceae","Chomelia","martiana","Chomelia martiana","Müll.Arg.",NA,NA,NA,NA,"Martius, CFP","s.n.","Brazil","Minas Gerais","São Domingos do Prata","-42.97","-19.87",NA,NA,NA,NA,"in prov. Minas Geraës, in sepibus ad S. Domingo",NA,NA,NA,NA,"Southern America","-42.97","-19.87",NA,NA,NA,NA,NA,NA,NA
"38","2017-09-11 16:28:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Rubiaceae","Chomelia","martiana","Chomelia martiana","Müll.Arg.",NA,NA,NA,NA,"Martius, CFP","s.n.","Brazil","Minas Gerais","São Domingos do Prata","-42.97","-19.87",NA,NA,NA,NA,"In sepibus.",NA,NA,NA,NA,"Southern America","-42.97","-19.87",NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:09:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Euphorbiaceae","Croton","antisyphiliticus","Croton antisyphiliticus","Mart.",NA,NA,NA,NA,"Burchell, WJ","5891","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,"P11P2N0031","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-09-24 15:04:11-03","CAS","CAS-BOT","599501","PreservedSpecimen","Plantae","Piperaceae","Pothomorphe","sidifolia","Pothomorphe sidifolia","Miq.",NA,NA,NA,NA,"Mexia, Ynes","4965","Brazil","Minas Gerais","Sao Domingos Do Prata","-42.9682998657227","-19.8649997711182","28512","Perennial herb 2 m. high. Common. Capeva.","auto","1930","Districto Ilheu [District of Ilhéus do Prata, Município de São Domingos do Prata]. Fazenda da Tabuha","08",NA,NA,NA,"South America",NA,NA,"300","300",NA,NA,"Magnoliophyta","Magnoliopsida","Piperales"
