"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","order","class","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem"
"11","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1567","S","Plantae","Pterifophyta","Cyatheaceae","Cyathea","sp.","Cyathea sp.",NA,"Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF319","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.770'","19°14.784'","18539","917","917",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1575","S","Plantae","Pterifophyta","Cyatheaceae","Cyathea","sp.","Cyathea sp.",NA,"Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF327","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°27.109'","19°14.717'","18539","957","957",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1566","S","Plantae","Pterifophyta","Cyatheaceae","Cyathea","villosa","Cyathea villosa","Willd.","Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF318","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°26.770'","19°14.784'","18539","917","917",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1576","S","Plantae","Magnoliophyta","Orchidaceae","Cyclopogon","sp.","Cyclopogon sp.",NA,"Carlos A. Ferreira Jr.","2011","07","07","Carlos Alberto F. Jr.; Fernando Araújo e Lucas Assis","CAF330","2011","07","06","Brasil","Minas Gerais","Morro do Pilar","Área da nova estrada que liga Santana do Riacho a Serro.","-43.3763999938965","-19.2155990600586","43°27.109'","19°14.717'","18539","960","960",NA,"254","auto","Asparagales","Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:41:18-03","NYBG","NYBG","02423801","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae","Rhynchospora","speciosa","Rhynchospora speciosa","(Kunth) Boeckeler","P. A. P. Weber","2013",NA,NA,"M. Verdi","6589","2013","10","15","Brazil","Minas Gerais","Morro do Pilar","PARNA Serra do Cipó, Alto Palácio, trilha para as Vellozia gigantea","-43.5189","-19.2472","-43.5189","-19.2472",NA,"1308","1308",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales",NA,"South America","sheet","NY02423801","NY02423801",NA,NA,NA,NA
"16","2019-12-16 16:52:18-03","NYBG","NYBG","871911","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Richterago","amplexifolia","Richterago amplexifolia","(Gardner) Kuntze","N. Roque","1999",NA,NA,"M. T. V. do A. Campos","CFSC13474","1993","10","26","Brazil","Minas Gerais","Morro do Pilar","Serra do Cipó. Estrada MG-010 cerca de 1,5 km antes da bifurcação entre o Morro do Pilar e Conceição do Mato Dentro.","-43.3764","-19.2158","-43.3764","-19.2158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Asterales",NA,"South America","sheet","NY00871911","NY00871911",NA,NA,NA,NA
"17","2019-12-16 19:03:01-03","NYBG","NYBG","00712583","PreservedSpecimen","Plantae","Magnoliophyta","Solanaceae","Solanum","cladotrichum","Solanum cladotrichum","Vand. ex Dunal","M. H. Nee","2005",NA,NA,"G. G. Hatschbach","35373","1974","10","26","Brazil","Minas Gerais","Morro do Pilar","Rio Repicão","-43.3764","-19.2158","-43.3764","-19.2158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=850086 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales",NA,"South America","sheet","NY00712583","NY00712583",NA,NA,NA,NA
"18","2019-12-16 18:47:31-03","NYBG","NYBG","02608074","PreservedSpecimen","Plantae","Magnoliophyta","Xyridaceae","Xyris",NA,"Xyris",NA,NA,NA,NA,NA,"N. F. de O. Mota","2625","2012","04","15","Brazil","Minas Gerais","Morro de Pilar","Parque Nacional da Serra do Cipó. Alto da Boa Vista.","-43.5942","-19.2922","-43.5942","-19.2922",NA,"1233","1233",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2920107 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales",NA,"South America","sheet","NY02608074","NY02608074",NA,NA,NA,NA
"19","2019-12-16 18:38:00-03","NYBG","NYBG","02423804","PreservedSpecimen","Plantae","Magnoliophyta","Cyperaceae",NA,NA,NA,NA,NA,NA,NA,NA,"M. Verdi","6573","2013","10","15","Brazil","Minas Gerais","Morro do Pilar","PARNA Serra do Cipó, Alto Palácio, trilha para as Vellozia gigantea","-43.5189","-19.2472","-43.5189","-19.2472",NA,"1308","1308",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales",NA,"South America","sheet","NY02423804","NY02423804",NA,NA,NA,NA
"20","2019-12-16 17:15:49-03","NYBG","NYBG","00959143","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Cassia","ferruginea","Cassia ferruginea ferruginea","(Schrad.) Schrad. ex DC.","H. S. Irwin; R. C. Barneby",NA,NA,NA,"G. G. Hatschbach","35370","1974","10","26","Brazil","Minas Gerais","Morro do Pilar","Rio Repicao","-43.3764","-19.2158","-43.3764","-19.2158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1029702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Fabales",NA,"South America","sheet","NY00959143","NY00959143","ferruginea",NA,NA,NA
"21","2019-12-16 18:18:49-03","NYBG","NYBG","02137347","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Comolia","stenodon","Comolia stenodon","Triana","M. J. R. Rocha","2012","06","18","M. J. R. Rocha","696","2012","06","18","Brazil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó. Parque Nacional da Serra do Cipó. Entroncamento da MG 010 em direção à Morro do Pilar","-43.4953","-19.2194","-43.4953","-19.2194",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190412 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"South America","sheet","NY02137347","NY02137347",NA,NA,NA,NA
"22","2019-12-16 18:25:35-03","NYBG","NYBG","01856069","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Microlicia","fulva","Microlicia fulva",NA,"F. Silveira","2012","03","14","M. J. R. Rocha","370","2012","03","14","Brazil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó. Estrada sentido Morro do Pilar, próximo ao entroncamento para Morro do Pilar","-43.4964","-19.2203","-43.4964","-19.2203",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"South America","sheet","NY01856069","NY01856069",NA,NA,NA,NA
"23","2019-12-16 18:25:51-03","NYBG","NYBG","01856070","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Microlicia","graveolens","Microlicia graveolens","DC.","F. Silveira","2012","03","14","M. J. R. Rocha","368","2012","03","14","Brazil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó. Estrada sentido Morro do Pilar, próximo ao entroncamento para Morro do Pilar","-43.4964","-19.2203","-43.4964","-19.2203",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"South America","sheet","NY01856070","NY01856070",NA,NA,NA,NA
"24","2019-12-16 18:47:31-03","NYBG","NYBG","02608073","PreservedSpecimen","Plantae","Magnoliophyta","Xyridaceae","Xyris",NA,"Xyris",NA,NA,NA,NA,NA,"N. F. de O. Mota","2622","2012","04","15","Brazil","Minas Gerais","Morro de Pilar","Parque Nacional da Serra do Cipó. Alto da Boa Vista.","-43.5942","-19.2922","-43.5942","-19.2922",NA,"1233","1233",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2920105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales",NA,"South America","sheet","NY02608073","NY02608073",NA,NA,NA,NA
"25","2019-12-16 18:47:32-03","NYBG","NYBG","02578466","PreservedSpecimen","Plantae","Magnoliophyta","Xyridaceae","Xyris","anamariae","Xyris anamariae","Wand. & Kral",NA,NA,NA,NA,"N. F. de O. Mota","2188","2011","04","06","Brazil","Minas Gerais","Morro do Pilar","PARNA Serra do Cipó- trilha do vale do corrego do Salitreiro. Campo rupestre proximo ao corrego do Salitreiro.","-43.5136","-19.2856","-43.5136","-19.2856",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2833602 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales",NA,"South America","sheet","NY02578466","NY02578466",NA,NA,NA,NA
"26","2019-12-16 18:47:32-03","NYBG","NYBG","02578457","PreservedSpecimen","Plantae","Magnoliophyta","Xyridaceae","Xyris","blanchetiana","Xyris blanchetiana","Malme",NA,NA,NA,NA,"N. F. de O. Mota","2623","2012","04","15","Brazil","Minas Gerais","Morro de Pilar","Parque Nacional da Serra do Cipó. Alto da Boa Vista.","-43.5942","-19.2922","-43.5942","-19.2922",NA,"1233","1233",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2833590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales",NA,"South America","sheet","NY02578457","NY02578457",NA,NA,NA,NA
"27","2019-12-16 18:47:32-03","NYBG","NYBG","02578475","PreservedSpecimen","Plantae","Magnoliophyta","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla","Mart.",NA,NA,NA,NA,"N. F. de O. Mota","2211","2011","04","08","Brazil","Minas Gerais","Morro do Pilar","PARNA Serra do Cipó- trilha do vale do corrego do Salitreiro. Campo rupestre proximo ao corrego do Salitreiro.","-43.5136","-19.2856","-43.5136","-19.2856",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2833616 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales",NA,"South America","sheet","NY02578475","NY02578475",NA,NA,NA,NA
"28","2019-12-16 18:47:32-03","NYBG","NYBG","02578477","PreservedSpecimen","Plantae","Magnoliophyta","Xyridaceae","Xyris","blepharophylla","Xyris blepharophylla","Mart.",NA,NA,NA,NA,"N. F. de O. Mota","2632","2011","04","15","Brazil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó.","-43.3586","-19.2647","-43.3586","-19.2647",NA,"1325","1325",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2833618 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Poales",NA,"South America","sheet","NY02578477","NY02578477",NA,NA,NA,NA
"29","2019-09-24 11:12:24-03","EAO","IAN","106569","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","(Trin.) Chase","Oliveira, RC","2016","07",NA,"Mendes, M","6166","1951","04","05","Brasil","Minas Gerais","Morro do Pilar","Serra Cipó km 136","-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,"Herba 0,40 a 0,50. Faz parte do mosaico herbáceo.","auto",NA,NA,"Southern America",NA,"IAN106569",NA,NA,NA,NA,NA
"30","2019-09-24 11:12:24-03","EAO","IAN","106569","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","(Trin.) Chase","Oliveira, RC","2016","07",NA,"Mendes, M","6166","1951","04","05","Brasil","Minas Gerais","Morro do Pilar","Serra Cipó km 136","-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,"Herba 0,40 a 0,50. Faz parte do mosaico herbáceo.","auto",NA,NA,"Southern America",NA,"IAN106569",NA,NA,NA,NA,NA
"31","2019-09-24 11:12:24-03","EAO","IAN","106566","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Mesosetum","ferrugineum","Mesosetum ferrugineum","(Trin.) Chase","Oliveira, RC","2016","07",NA,"Mendes, M","6166","1951","04","05","Brasil","Minas Gerais","Morro do Pilar","Serra Cipó km 136","-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,"Herba 0,40 a 0,50. Faz parte do mosaico herbáceo.","auto",NA,NA,"Southern America",NA,"IAN106566",NA,NA,NA,NA,NA
"32","2019-09-24 11:12:59-03","EAO","IAN","69948","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paspalum",NA,"Paspalum",NA,NA,NA,NA,NA,"Black, GA; Magalhães, M","12124","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069948",NA,NA,NA,NA,NA
"33","2019-09-24 11:13:07-03","EAO","IAN","69946","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paspalum","mandiocanum","Paspalum mandiocanum","Trin.",NA,NA,NA,NA,"Black, GA; Magalhães, M","12122","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069946",NA,NA,NA,NA,NA
"34","2019-09-24 11:13:10-03","EAO","IAN","69963","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paspalum","notatum","Paspalum notatum","Flüggé",NA,NA,NA,NA,"Black, GA; Magalhães, M","12139","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069963",NA,NA,NA,NA,NA
"35","2019-09-24 11:13:11-03","EAO","IAN","69931","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paspalum","nutans","Paspalum nutans","Lam.",NA,NA,NA,NA,"Black, GA; Magalhães, M","12107","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069931",NA,NA,NA,NA,NA
"36","2019-09-24 11:13:11-03","EAO","IAN","69937","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paspalum","paniculatum","Paspalum paniculatum","L.",NA,NA,NA,NA,"Black, GA; Magalhães, M","12113","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069937",NA,NA,NA,NA,NA
"37","2019-09-24 11:13:11-03","EAO","IAN","69944","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paspalum","pilosum","Paspalum pilosum","Lam.",NA,NA,NA,NA,"Black, GA; Magalhães, M","12120","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069944",NA,NA,NA,NA,NA
"38","2019-09-24 11:13:10-03","EAO","IAN","69934","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paspalum","multicaule","Paspalum multicaule","Poir.",NA,NA,NA,NA,"Black, GA; Magalhães, M","12110","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069934",NA,NA,NA,NA,NA
"39","2019-09-24 11:13:31-03","EAO","IAN","69961","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Sporobolus","aeneus","Sporobolus aeneus","(Trin.) Kunth","Boechat, SC","1991","11","21","Black, GA; Magalhães, M","12137","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069961",NA,NA,NA,NA,NA
"40","2019-09-24 11:13:07-03","EAO","IAN","69945","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paspalum","mandiocanum","Paspalum mandiocanum","Trin.",NA,NA,NA,NA,"Black, GA; Magalhães, M","12121","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069945",NA,NA,NA,NA,NA
"41","2019-09-24 11:13:31-03","EAO","IAN","69968","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Sporobolus","aeneus","Sporobolus aeneus","(Trin.) Kunth","Boechat, SC","1991","11","21","Black, GA; Magalhães, M","12144","1951","04","06","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN069968",NA,NA,NA,NA,NA
"42","2019-09-24 10:33:55-03","EAO","IAN","106576","PreservedSpecimen","Plantae",NA,"Indet.","Indet",NA,"Indet",NA,NA,NA,NA,NA,"Magalhães, MG","6173","1951","04","10","Brasil","Minas Gerais","Morro do Pilar","Campo graminoso com arbustos esparsos. Fáz parte, entre a colonia de herbacea/ terreno seco, vermelho em declive.","-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN106576",NA,NA,NA,NA,NA
"43","2019-09-24 10:55:33-03","EAO","IAN","70051","PreservedSpecimen","Plantae","Dicotiledônea","Leguminosae-Caesalp.","Senna","reniformis","Senna reniformis","(Don) H.S. Irwin & Barneby","Nascimento, EAP","2011","10","10","Black, GA; Magalhães, MG","12226","1951","04","09","Brasil","Minas Gerais","Morro do Pilar","Morro do Pilar.","-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,"IAN070051",NA,NA,NA,NA,NA
"44","2019-10-09 11:15:26-03","UFBA","ALCB","21266","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Cassia","bicapsularis","Cassia bicapsularis","L.","Barroso, GM","1982","06",NA,"Almeida, EF","214","1982","05","21","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.416667","-19.266667","-43.416667","-19.266667",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,"ALCB025648","ALCB025648",NA,NA,NA,NA
"45","2019-10-09 11:21:13-03","UFBA","ALCB","129047","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Eugenia","punicifolia","Eugenia punicifolia","(Kunth) DC.","Stadnik, A; Melo, JDO; Lucresia, L","2019","06","13","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6250","2016","07","11","Brasil","Minas Gerais","Morro do Pilar","Margem da rodovia MG 010 entre Conceição do Mato Dentro e o trevo para Morro do Pilar, próximo ao trevo.","-43.499722","-19.2075","-43.499722","-19.2075",NA,"1309","1309",NA,"ca 3 m de altura, caule soltando, pouco ritidoma, frutos imaturos verdes passando do amarelo ao vermelhos quando maduros; pequeno capão de mato",NA,NA,NA,"Southern America",NA,"ALCB046557","ALCB046557",NA,NA,NA,NA
"46","2019-07-11 08:48:37-03","ESALQ","ESA","135553","S","Plantae",NA,"Ochnaceae","Luxemburgia","cilliatibracteata","Luxemburgia cilliatibracteata","Sastre","C.N. de Fraga","2013",NA,NA,"M.Verdi","6571","2013","10","15","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,NA,NA,"ESA135553",NA,NA,NA,NA,NA
"47","2019-07-11 08:56:29-03","ESALQ","ESA","111473","S","Plantae","Magnoliophyta","Passifloraceae","Passiflora","speciosa","Passiflora speciosa",NA,NA,NA,NA,NA,"Flores, T.B.","822","2010","09","14","Brasil","Minas Gerais","Morro do Pilar",NA,"-43.3763999938965","-19.2155990600586",NA,NA,"18539",NA,NA,NA,NA,"auto",NA,NA,NA,NA,"ESA111473","ESA111473",NA,NA,NA,NA
