"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet"
"16","2019-12-06 15:14:48-03","MBM","MBM","418801","S","Plantae",NA,NA,"Poaceae","Megathyrsus","maximus","Megathyrsus maximus","(Jacq.) B.K. Simon & S.W.L. Jacobs","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1061","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418801",NA,"Marinero, F.","2018","12","11",NA,NA,"230","230",NA,NA
"17","2019-12-06 14:26:35-03","MBM","MBM","418789","S","Plantae",NA,NA,"Apocynaceae","Mesechites","mansoanus","Mesechites mansoanus","(A.DC.) Woodson","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1049","2018","11","21","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418789",NA,"Marinero, F.; Barboza, E.","2019","07","01",NA,NA,"243","243",NA,NA
"18","2019-12-06 14:26:38-03","MBM","MBM","418809","S","Plantae",NA,NA,"Apocynaceae","Oxypetalum","alpinum","Oxypetalum alpinum","(Vell.) Fontella & Schwarz","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1069","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418809",NA,"Marinero, F.","2019","05","16",NA,NA,"230","230",NA,NA
"19","2019-12-06 15:15:08-03","MBM","MBM","420614","S","Plantae",NA,NA,"Poaceae","Paspalum","intermedium","Paspalum intermedium","Munro","Cafofo, E.; Felitto, G.; Felitto, G.","160","2018","09","01","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho",NA,"-42.500556","-19.523889","-42.500556","-19.523889",NA,NA,"MBM420614",NA,"Cafofo, E.",NA,NA,NA,NA,NA,"216","216",NA,NA
"20","2019-12-06 14:37:44-03","MBM","MBM","418823","S","Plantae",NA,NA,"Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1083","2018","11","23","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.498056","-19.526389","-42.498056","-19.526389",NA,NA,"MBM418823",NA,"Nardin, E.C.","2019","04","05",NA,NA,"223","223",NA,NA
"21","2019-12-06 15:13:25-03","MBM","MBM","418822","S","Plantae",NA,NA,"Piperaceae","Piper","amalago","Piper amalago","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1082","2018","11","23","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.498056","-19.526389","-42.498056","-19.526389",NA,NA,"MBM418822",NA,"Marinero, F.","2019","03","25",NA,NA,"223","223",NA,NA
"22","2019-12-06 15:17:21-03","MBM","MBM","418803","S","Plantae",NA,NA,"Pteridaceae","Pityrogramma","calomelanos","Pityrogramma calomelanos","(L.) Link","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1063","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418803",NA,"Ariati, V.","2019","04","11",NA,NA,"230","230",NA,NA
"23","2019-12-06 14:33:40-03","MBM","MBM","418808","S","Plantae",NA,NA,"Asteraceae","Praxelis","clematidea","Praxelis clematidea","(Griseb.) R.M. King & H. Rob.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1068","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418808",NA,"Marinero, F.","2019","03","20",NA,NA,"230","230",NA,NA
"24","2019-12-06 15:22:55-03","MBM","MBM","418788","S","Plantae",NA,NA,"Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1048","2018","11","21","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418788",NA,"Marinero, F.","2019","01","21",NA,NA,"243","243",NA,NA
"25","2019-12-06 15:15:31-03","MBM","MBM","418793","S","Plantae",NA,NA,"Poaceae","Steinchisma","laxum","Steinchisma laxum","(Sw.) Zuloaga","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1053","2018","11","21","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418793",NA,"Marinero, F.","2018","12","11",NA,NA,"243","243",NA,NA
"26","2019-12-06 15:15:31-03","MBM","MBM","418826","S","Plantae",NA,NA,"Poaceae","Steinchisma","laxum","Steinchisma laxum","(Sw.) Zuloaga","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1086","2018","11","23","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.498056","-19.526389","-42.498056","-19.526389",NA,NA,"MBM418826",NA,"Marinero, F.","2018","12","10",NA,NA,"223","223",NA,NA
"27","2019-12-06 14:59:33-03","MBM","MBM","418804","S","Plantae",NA,NA,"Linderniaceae","Torenia","thouarsii","Torenia thouarsii","(Cham. & Schltdl.) Kuntze","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1064","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418804",NA,"Marinero, F.","2019","04","12",NA,NA,"230","230",NA,NA
"28","2019-12-06 15:15:34-03","MBM","MBM","418791","S","Plantae",NA,NA,"Poaceae","Urochloa","arrecta","Urochloa arrecta","(Hack. ex T. Durand & Schinz) Morrone & Zuloaga","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1051","2018","11","21","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418791",NA,"Marinero, F.","2018","12","11",NA,NA,"243","243",NA,NA
"29","2019-12-06 14:51:46-03","MBM","MBM","418805","S","Plantae",NA,NA,"Fabaceae","Vigna","luteola","Vigna luteola","(Jacq.) Benth.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1065","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418805",NA,"Marinero, F.","2019","03","13",NA,NA,"230","230",NA,NA
"30","2019-12-06 14:42:10-03","MBM","MBM","418796","S","Plantae",NA,NA,"Cyperaceae","Scleria","variegata","Scleria variegata","(Nees) Steud.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1056","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493056","-19.573611","-42.493056","-19.573611",NA,NA,"MBM418796",NA,"Marinero, F.","2019","03","19",NA,NA,"247","247",NA,NA
"31","2019-12-06 15:22:15-03","MBM","MBM","418825","S","Plantae",NA,NA,"Solanaceae","Solanum","cernuum","Solanum cernuum","Vell.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1085","2018","11","23","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.498056","-19.526389","-42.498056","-19.526389",NA,NA,"MBM418825",NA,"Marinero, F.","2019","01","21",NA,NA,"223","223",NA,NA
"32","2019-12-06 15:13:52-03","MBM","MBM","418792","S","Plantae",NA,NA,"Poaceae","Acroceras","zizanioides","Acroceras zizanioides","(Kunth) Dandy","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1052","2018","11","21","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418792",NA,"Marinero, F.","2018","12","10",NA,NA,"243","243",NA,NA
"33","2019-12-06 15:13:52-03","MBM","MBM","418827","S","Plantae",NA,NA,"Poaceae","Acroceras","zizanioides","Acroceras zizanioides","(Kunth) Dandy","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1087","2018","11","23","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.498056","-19.526389","-42.498056","-19.526389",NA,NA,"MBM418827",NA,"Cordeiro, J.; Marinero, F.","2018","12","10",NA,NA,"223","223",NA,NA
"34","2019-12-06 15:17:08-03","MBM","MBM","418798","S","Plantae",NA,NA,"Pteridaceae","Adiantum","latifolium","Adiantum latifolium","Lam.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1058","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493056","-19.573611","-42.493056","-19.573611",NA,NA,"MBM418798",NA,"Ariati, V.","2019","04","12",NA,NA,"247","247",NA,NA
"35","2019-12-06 15:13:52-03","MBM","MBM","418790","S","Plantae",NA,NA,"Poaceae","Andropogon","bicornis","Andropogon bicornis","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1050","2018","11","21","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418790",NA,"Marinero, F.","2018","12","11",NA,NA,"243","243",NA,NA
"36","2019-12-06 14:29:25-03","MBM","MBM","418799","S","Plantae",NA,NA,"Asteraceae","Baccharis",NA,"Baccharis",NA,"Marinero, F.; Nardin, E.C.; Nardin, E.C.","1059","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493056","-19.573611","-42.493056","-19.573611",NA,NA,"MBM418799",NA,NA,NA,NA,NA,NA,NA,"247","247",NA,NA
"37","2019-12-06 15:13:43-03","MBM","MBM","421376","S","Plantae",NA,NA,"Plantaginaceae","Bacopa",NA,"Bacopa",NA,"Cafofo, E.; Felitto, G.; Felitto, G.","156","2018","09","01","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho",NA,"-42.500556","-19.523889","-42.500556","-19.523889",NA,NA,"MBM421376",NA,NA,NA,NA,NA,NA,NA,"216","216",NA,NA
"38","2019-12-06 15:18:01-03","MBM","MBM","418800","S","Plantae",NA,NA,"Rubiaceae","Borreria","capitata","Borreria capitata","(Ruiz & Pav.) DC.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1060","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418800",NA,"Marinero, F.","2019","01","24",NA,NA,"230","230",NA,NA
"39","2019-12-06 14:46:47-03","MBM","MBM","418784","S","Plantae",NA,NA,"Fabaceae","Canavalia","brasiliensis","Canavalia brasiliensis","Mart. ex Benth.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1044","2018","11","19","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418784",NA,"Marinero, F.","2019","04","04",NA,NA,"243","243",NA,NA
"40","2019-12-06 14:41:07-03","MBM","MBM","418802","S","Plantae",NA,NA,"Cyperaceae","Carex","brasiliensis","Carex brasiliensis","St. Hil.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1062","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418802",NA,"Marinero, F.","2019","03","19",NA,NA,"230","230",NA,NA
"41","2019-12-06 14:41:18-03","MBM","MBM","418797","S","Plantae",NA,NA,"Cyperaceae","Cyperus",NA,"Cyperus",NA,"Marinero, F.; Nardin, E.C.; Nardin, E.C.","1057","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493056","-19.573611","-42.493056","-19.573611",NA,NA,"MBM418797",NA,NA,NA,NA,NA,NA,NA,"247","247",NA,NA
"42","2019-12-06 14:41:25-03","MBM","MBM","418807","S","Plantae",NA,NA,"Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus","Poir.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1067","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.488056","-19.579444","-42.488056","-19.579444",NA,NA,"MBM418807",NA,"Marinero, F.","2019","03","19",NA,NA,"230","230",NA,NA
"43","2019-12-06 15:02:01-03","MBM","MBM","418794","S","Plantae",NA,NA,"Malpighiaceae","Dicella","bracteosa","Dicella bracteosa","(A. Juss.) Griseb.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1054","2018","11","22","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493056","-19.573611","-42.493056","-19.573611",NA,NA,"MBM418794",NA,"Marinero, F.","2019","04","25",NA,NA,"247","247",NA,NA
"44","2019-12-06 15:03:08-03","MBM","MBM","418786","S","Plantae",NA,NA,"Malvaceae","Hibiscus",NA,"Hibiscus","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1046","2018","11","21","Southern America","Brazil","Minas Gerais","Bom Jesus do Galho","Rio Doce","-42.493889","-19.69","-42.493889","-19.69",NA,NA,"MBM418786",NA,"Marinero, F.","2019","01","28",NA,NA,"243","243",NA,NA
"45","2019-11-14 18:36:02-03","UFMG","BHCB","191318","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae",NA,NA,NA,NA,"Giacomin, LL; Oliveira, CT","493","2008","12","22","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Zona rural, Proximidades do núcleo urbano de Revés do Belém, ca. de 1 km do núcleo urbano.","-42.475944","-19.585583","-42.475944","-19.585583",NA,"Erva rasteira. Brácteas douradas.; Mata ciliar.","BHCB191318","BHCB191318",NA,NA,NA,NA,NA,NA,"249","249",NA,NA
"46","2019-10-02 14:51:17-03","UFMG","BHCB","191333","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Adenocalymma","subsessilifolium","Adenocalymma subsessilifolium","DC.","Giacomin, LL; Oliveira, CT","549","2009","01","07","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Zona rural, Ca. de 15 km de Revés do Belém. Próximo a lagoa.","-42.448444","-19.688194","-42.448444","-19.688194",NA,"Liana. Fruto marrom.; Fragmento de floresta ombrófila degradada.","BHCB191333",NA,NA,NA,NA,NA,NA,NA,"267","267",NA,NA
"47","2019-10-02 14:51:17-03","UFMG","BHCB","191305","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Adenocalymma","trifoliatum","Adenocalymma trifoliatum","(Vell.) R.C.Laroche","Giacomin, LL; Oliveira, CT","458","2008","12","21","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Caminho para Lagoa Bonita, Próximo a lagoa","-42.456167","-19.619528","-42.456167","-19.619528",NA,"Liana cauliflora. Flores amarelas.; Em trilha de floresta ombrófila degradada.","BHCB191305",NA,NA,NA,NA,NA,NA,NA,"273","273",NA,NA
"48","2019-10-02 14:55:03-03","UFMG","BHCB","191355","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","Giacomin, LL; Oliveira, CT","388","2008","12","20","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Revés do Belém, Estrada vicinal, marginal a Eucaliptal da Cenibra. Floresta ombrófila degradada próximo a ponte.","-42.464194","-19.560861","-42.464194","-19.560861",NA,"Arbusto em borda de mata. Cálice verde, corola alva.","BHCB191355",NA,NA,NA,NA,NA,NA,NA,"247","247",NA,NA
"49","2019-10-31 18:27:25-03","UFMG","BHCB","191277","PreservedSpecimen","Plantae","Angiosperma",NA,NA,NA,NA,NA,NA,"Giacomin, LL; Oliveira, CT","394","2008","12","20","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Revés do Belém, Estrada vicinal, marginal a Eucaliptal da Cenibra. Próximo a ponte.","-42.464194","-19.560861","-42.464194","-19.560861",NA,"Árvore.; Às margens do rio. Floresta ombrófila degradada.","BHCB191277","BHCB191277",NA,NA,NA,NA,NA,NA,"247","247",NA,NA
"50","2019-10-31 18:27:25-03","UFMG","BHCB","191296","PreservedSpecimen","Plantae","Angiosperma",NA,NA,NA,NA,NA,NA,"Giacomin, LL; Oliveira, CT","434","2008","12","21","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Lagoa Bonita, Margens da lagoa.","-42.443361","-19.629472","-42.443361","-19.629472",NA,"Arvoreta. Frutos imaturos verdes.","BHCB191296","BHCB191296",NA,NA,NA,NA,NA,NA,"260","260",NA,NA
"51","2019-10-31 18:27:25-03","UFMG","BHCB","191299","PreservedSpecimen","Plantae","Angiosperma",NA,NA,NA,NA,NA,NA,"Giacomin, LL; Oliveira, CT","440","2008","12","21","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Lagoa Bonita, Margens da lagoa.","-42.443528","-19.6305","-42.443528","-19.6305",NA,"Arbusto. Frutos verdes.","BHCB191299","BHCB191299",NA,NA,NA,NA,NA,NA,"264","264",NA,NA
"52","2019-10-31 18:27:25-03","UFMG","BHCB","191304","PreservedSpecimen","Plantae","Angiosperma",NA,NA,NA,NA,NA,NA,"Giacomin, LL; Oliveira, CT","457","2008","12","21","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Caminho para Lagoa Bonita. Próximo a lagoa.","-42.456167","-19.619528","-42.456167","-19.619528",NA,"Arvoreta, 4 m.; Em trilha de floresta ombrófila degradada.","BHCB191304","BHCB191304",NA,NA,NA,NA,NA,NA,"273","273",NA,NA
"53","2019-10-31 18:27:25-03","UFMG","BHCB","191311","PreservedSpecimen","Plantae","Angiosperma",NA,NA,NA,NA,NA,NA,"Giacomin, LL; Oliveira, CT","475","2008","12","21","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Caminho para Lagoa Bonita. Próximo a lagoa.","-42.465333","-19.620639","-42.465333","-19.620639",NA,"Arbusto.; Em trilha de floresta ombrófila degradada.","BHCB191311","BHCB191311",NA,NA,NA,NA,NA,NA,"320","320",NA,NA
"54","2019-10-31 18:27:25-03","UFMG","BHCB","191327","PreservedSpecimen","Plantae","Angiosperma",NA,NA,NA,NA,NA,NA,"Giacomin, LL; Oliveira, CT","535","2009","01","07","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Zona rural. Ca. de 15 km de Revés do Belém. Próximo a lagoa.","-42.440083","-19.671389","-42.440083","-19.671389",NA,"Arvoreta, 3 m. Botões verdes.; Fragmento de floresta ombrófila degradada.","BHCB191327","BHCB191327",NA,NA,NA,NA,NA,NA,"253","253",NA,NA
"55","2019-10-02 14:55:18-03","UFMG","BHCB","191298","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Aniba","intermedia","Aniba intermedia","(Meisn.) Mez","Giacomin, LL; Oliveira, CT","438","2008","12","21","Southern America","Brasil","Minas Gerais","Bom Jesus do Galho","Lagoa Bonita, Margens da lagoa","-42.443528","-19.6305","-42.443528","-19.6305",NA,"Arbusto. Frutos vermelhos.","BHCB191298",NA,NA,NA,NA,NA,NA,NA,"264","264",NA,NA
