"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","monthIdentified","dayIdentified","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","typeStatus","infraspecificEpithet","previousCatalogNumber","relatedCatalogItem"
"11","2019-12-16 16:31:36-03","NYBG","NYBG","02280109","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Brachytheciaceae","Rhynchostegium","serrulatum","Rhynchostegium serrulatum","(Hedw.) A.Jaeger",NA,"P. E. A. S. Câmara","3262","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615226 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280109",NA,NA,NA,NA,NA
"12","2019-12-16 16:38:34-03","NYBG","NYBG","02280098","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","cavifolium","Sematophyllum cavifolium","(Hook. & Wilson) ined.",NA,"P. E. A. S. Câmara","3246","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Cachoeira Bonita","-41.5036","-20.2442",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5036","-20.2442","1854","1854","South America","packeted","NY02280098","NY02280098",NA,NA,NA,NA
"13","2019-12-16 16:38:34-03","NYBG","NYBG","02280121","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,"P. E. A. S. Câmara","3275","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615240 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280121","NY02280121",NA,NA,NA,NA
"14","2019-12-16 16:38:34-03","NYBG","NYBG","02280120","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,"P. E. A. S. Câmara","3274","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280120","NY02280120",NA,NA,NA,NA
"15","2019-12-16 16:38:34-03","NYBG","NYBG","02280127","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,"P. E. A. S. Câmara","3280","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615247 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280127","NY02280127",NA,NA,NA,NA
"16","2019-12-16 16:38:34-03","NYBG","NYBG","02280110","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,"P. E. A. S. Câmara","3263","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615227 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280110","NY02280110",NA,NA,NA,NA
"17","2019-12-16 16:38:34-03","NYBG","NYBG","02280093","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,"P. E. A. S. Câmara","3239","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Cachoeira Bonita","-41.5036","-20.2442",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5036","-20.2442","1854","1854","South America","packeted","NY02280093","NY02280093",NA,NA,NA,NA
"18","2019-12-16 16:38:34-03","NYBG","NYBG","02280099","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,"P. E. A. S. Câmara","3247","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Cachoeira Bonita","-41.5036","-20.2442",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615213 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5036","-20.2442","1854","1854","South America","packeted","NY02280099","NY02280099",NA,NA,NA,NA
"19","2019-12-16 16:38:34-03","NYBG","NYBG","02280123","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","leucostomum","Sematophyllum leucostomum","(Hampe) W.R.Buck",NA,"P. E. A. S. Câmara","3277","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615243 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280123","NY02280123",NA,NA,NA,NA
"20","2019-12-16 16:38:34-03","NYBG","NYBG","02280115","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","leucostomum","Sematophyllum leucostomum","(Hampe) W.R.Buck",NA,"P. E. A. S. Câmara","3269","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615233 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280115","NY02280115",NA,NA,NA,NA
"21","2019-12-16 16:38:48-03","NYBG","NYBG","02280125","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","subdepressum","Sematophyllum subdepressum","(Hampe) Broth.",NA,"P. E. A. S. Câmara","3278","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280125","NY02280125",NA,NA,NA,NA
"22","2019-12-16 16:38:48-03","NYBG","NYBG","02280145","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","subdepressum","Sematophyllum subdepressum","(Hampe) Broth.",NA,"P. E. A. S. Câmara","3300","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280145","NY02280145",NA,NA,NA,NA
"23","2019-12-16 16:38:34-03","NYBG","NYBG","02280080","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","subdepressum","Sematophyllum subdepressum","(Hampe) Broth.",NA,"P. E. A. S. Câmara","3222","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Cachoeira Bonita","-41.5036","-20.2442",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615192 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5036","-20.2442","1854","1854","South America","packeted","NY02280080","NY02280080",NA,NA,NA,NA
"24","2019-12-16 16:38:34-03","NYBG","NYBG","02280087","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","subdepressum","Sematophyllum subdepressum","(Hampe) Broth.",NA,"P. E. A. S. Câmara","3231","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Cachoeira Bonita","-41.5036","-20.2442",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615199 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5036","-20.2442","1854","1854","South America","packeted","NY02280087","NY02280087",NA,NA,NA,NA
"25","2019-12-16 18:57:26-03","NYBG","NYBG","1009424","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindales","Sapindaceae","Cupania",NA,"Cupania",NA,NA,"L. de S. Leoni","5542","Brazil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105","21645",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1747677 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,NA,"2003","12",NA,NA,NA,"1100","1100","South America","sheet","NY01009424","NY01009424",NA,NA,NA,NA
"26","2019-12-16 17:48:55-03","NYBG","NYBG","2423275","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Lamiaceae","Salvia","arenaria","Salvia arenaria","A.St.-Hil. ex Benth.",NA,"J. Kuntz","494","Brazil","Minas Gerais","Alto Caparaó","Estrada para Tronqueira, Parque Nacional do Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,NA,"2012","03","20",NA,NA,NA,NA,"South America","sheet","NY02423275","NY02423275",NA,NA,NA,NA
"27","2019-12-16 17:29:27-03","NYBG","NYBG","1773388","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabales","Fabaceae","Senna","organensis","Senna organensis","(Harms) H.S.Irwin & Barneby","2002","L. de S. Leoni","4944","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional","-41.8683013916016","-20.4333000183105","21645",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1996903 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","L. de S. Leoni","04","09","2005","04","09",NA,NA,"2400","2400","South America","sheet","NY01773388","NY01773388",NA,NA,NA,NA
"28","2019-12-16 18:27:13-03","NYBG","NYBG","1522620","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtales","Melastomataceae","Tibouchina","fissinervia","Tibouchina fissinervia",NA,"2005","L. de S. Leoni","6135","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional","-41.8683013916016","-20.4333000183105","21645",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1775572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","R. Romero",NA,NA,"2005","04",NA,NA,NA,"1860","1860","South America","sheet","NY01522620","NY01522620",NA,NA,NA,NA
"29","2019-12-16 18:27:13-03","NYBG","NYBG","02332268","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtales","Melastomataceae","Tibouchina","foveolata","Tibouchina foveolata","(Naudin) Cogn.","2015","L. de S. Leoni","7123","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional.","-41.8683013916016","-20.4333000183105","21645",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2508273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","F. S. Meyer",NA,NA,"2008","03","27",NA,NA,"1680","1680","South America","sheet","NY02332268","NY02332268",NA,NA,NA,NA
"30","2019-12-16 17:47:50-03","NYBG","NYBG","02713082","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Gesneriaceae","Vanhouttea","pendula","Vanhouttea pendula","Chautems",NA,"L. de S. Leoni","4197","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional ao lado da trilha (direita de quem sobr) em direção a tronqueira.","-41.8683013916016","-20.4333000183105","21645",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3040741 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,NA,"1999","05","14",NA,NA,"1400","1400","South America","sheet","NY02713082","NY02713082","isotype",NA,NA,NA
"31","2019-12-16 16:39:24-03","NYBG","NYBG","02280135","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Thuidiaceae","Pelekium","schistocalyx","Pelekium schistocalyx","(Müll.Hal.) Touw",NA,"P. E. A. S. Câmara","3288","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615261 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280135",NA,NA,NA,NA,NA
"32","2019-12-16 16:34:57-03","NYBG","NYBG","02280126","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Leucobryaceae","Leucobryum","crispum","Leucobryum crispum","Müll.Hal.",NA,"P. E. A. S. Câmara","3279","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280126",NA,NA,NA,NA,NA
"33","2019-12-16 16:31:36-03","NYBG","NYBG","02280146","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Brachytheciaceae","Rhynchostegium","beskeanum","Rhynchostegium beskeanum","(Müll.Hal.) A.Jaeger",NA,"P. E. A. S. Câmara","3301","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615274 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280146",NA,NA,NA,NA,NA
"34","2019-12-16 16:37:58-03","NYBG","NYBG","02280114","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Pterobryaceae","Calyptothecium","duplicatum","Calyptothecium duplicatum","(Schwägr.) Broth.",NA,"P. E. A. S. Câmara","3268","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615232 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280114",NA,NA,NA,NA,NA
"35","2019-12-16 16:38:34-03","NYBG","NYBG","02280139","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,"P. E. A. S. Câmara","3294","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615266 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280139","NY02280139",NA,NA,NA,NA
"36","2019-12-16 16:38:48-03","NYBG","NYBG","02280134","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","subdepressum","Sematophyllum subdepressum","(Hampe) Broth.",NA,"P. E. A. S. Câmara","3287","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615260 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280134","NY02280134",NA,NA,NA,NA
"37","2019-12-16 16:31:36-03","NYBG","NYBG","02280143","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Brachytheciaceae","Squamidium","leucotrichum","Squamidium leucotrichum",NA,NA,"P. E. A. S. Câmara","3298","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280143",NA,NA,NA,NA,NA
"38","2019-12-16 16:38:34-03","NYBG","NYBG","02280116","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,"P. E. A. S. Câmara","3270","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615234 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280116","NY02280116",NA,NA,NA,NA
"39","2019-12-16 16:35:12-03","NYBG","NYBG","02280124","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Meteoriaceae","Zelometeorium","patulum","Zelometeorium patulum","(Hedw.) Manuel",NA,"P. E. A. S. Câmara","3277A","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615244 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280124",NA,NA,NA,NA,NA
"40","2019-12-16 16:39:07-03","NYBG","NYBG","02280119","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Sematophyllaceae","Wijkia","flagellifera","Wijkia flagellifera","(Broth.) H.A.Crum",NA,"P. E. A. S. Câmara","3273","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615237 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280119",NA,NA,NA,NA,NA
"41","2019-12-16 16:35:12-03","NYBG","NYBG","02280108","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Meteoriaceae","Zelometeorium","patulum","Zelometeorium patulum","(Hedw.) Manuel",NA,"P. E. A. S. Câmara","3261","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280108",NA,NA,NA,NA,NA
"42","2019-12-16 16:35:29-03","NYBG","NYBG","02280136","PreservedSpecimen","Plantae","Bryophyta",NA,NA,"Neckeraceae","Thamnobryum","fasciculatum","Thamnobryum fasciculatum","(Sw. ex Hedw.) I.Sastre",NA,"P. E. A. S. Câmara","3290","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Vale Verde","-41.5078","-20.2519",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615262 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2013","11","18","-41.5078","-20.2519","1298","1298","South America","packeted","NY02280136",NA,NA,NA,NA,NA
