"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","monthIdentified","typeStatus","dayIdentified","coordinatePrecision","geoFlag","class","previousCatalogNumber","individualCount","relatedCatalogItem"
"11","2020-01-27 16:30:58-03","NYBG","NYBG","01164748","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","valtherii","Tibouchina valtherii","Cogn.","P. Guiamaraes","2010","F. Almeda","9664","2009","03","02","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487603 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01164748","NY01164748","-43.34816","-18.39868","-43.34816","-18.39868","1367","2038",NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 16:55:15-03","NYBG","NYBG","720660","PreservedSpecimen","Plantae","Magnoliophyta","Canellales","Winteraceae","Drimys","brasiliensis","Drimys brasiliensis","Miers",NA,NA,"M. F. d. Santos","551","2009","02","10","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico do Itambé. Na Lapa do Morcego, próximo ao Lajeado, em campo rupestre.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519334 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00720660","NY00720660","-43.32","-18.38","-43.32","-18.38","1595","1595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 19:12:17-03","NYBG","NYBG","875454","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","auritum","Asplenium auritum","Sw.","L. Sylvestre","1999","G. G. Hatschbach","30126","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambé","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=964140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00875454","NY00875454",NA,NA,NA,NA,"1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:34:18-03","NYBG","NYBG","898573","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","coronata","Barbacenia coronata","Ravenna","R. de Mello-Silva","1991","N. L. de Menezes","CFCR7791",NA,NA,NA,"South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Rio Preto, próximo à ponte de pedra, ca. 4 km da cidade.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00898573","NY00898573",NA,NA,NA,NA,NA,NA,NA,"08",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 19:13:09-03","NYBG","NYBG","1039737","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","regnellianum","Blechnum regnellianum","(Kunze) C.Chr.",NA,NA,"E. Schuettpelz","1422","2010","01","14","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Serra do Espinhaço: about 3 km W of Santo Antônio do Itambé, near the Cachoeira da Fumaça.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1490691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039737","NY01039737","-43.33445","-18.45475","-43.33445","-18.45475","865","865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 17:16:26-03","NYBG","NYBG","00959476","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","andromedea","Chamaecrista andromedea","(Benth.) H.S.Irwin & Barneby",NA,NA,"G. G. Hatschbach","30121","1972","07","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambe","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00959476","NY00959476",NA,NA,NA,NA,"1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 17:17:36-03","NYBG","NYBG","00960496","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","kirkbridei","Chamaecrista kirkbridei","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","R. C. Barneby",NA,"L. Rossi","CFCR3069","1982","04","06","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Descida do Morro do Pico Itambe","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048081 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00960496","NY00960496","-43.33","-18.43","-43.33","-18.43","3060","3060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 16:54:10-03","NYBG","NYBG","00858088","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","sellowiana","Cordia sellowiana","Cham.","G. G. Hatschbach","1972","G. G. Hatschbach","30132","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambe.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952401 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00858088","NY00858088",NA,NA,NA,NA,"1000","1000",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 18:39:20-03","NYBG","NYBG","02618661","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","subcastaneus","Cyperus subcastaneus",NA,NA,NA,"G. G. Hatschbach","30108","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambe","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2929487 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02618661","NY02618661",NA,NA,NA,NA,"1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 19:13:45-03","NYBG","NYBG","02239933","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","Rosenst.",NA,NA,"T. E. Almeida","560","2006","10","06","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Pico do Itambé. Pico do Itambé, trilha do Capivari e Grotas perto do Pico.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2495638 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02239933","NY02239933","-43.34417","-18.39778","-43.34417","-18.39778","1932","1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 19:14:04-03","NYBG","NYBG","02239921","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","nigrescens","Elaphoglossum nigrescens","(Hook.) T.Moore ex Diels",NA,NA,"T. E. Almeida","583","2006","10","07","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Pico do Itambé. Descida do Pico do Itambé.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2495390 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02239921","NY02239921","-43.32358","-18.39925","-43.32358","-18.39925","1504","1504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 19:14:04-03","NYBG","NYBG","1039736","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","pachydermum","Elaphoglossum pachydermum","(Fée) T.Moore",NA,NA,"E. Schuettpelz","1418","2010","01","14","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Serra do Espinhaço: about 3 km W of Santo Antônio do Itambé, near the Cachoeira da Fumaça.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1490688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039736","NY01039736","-43.33445","-18.45475","-43.33445","-18.45475","865","865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 18:29:27-03","NYBG","NYBG","00907597","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itajurensis","Eugenia itajurensis","Cambess.","M. Sobral","1993","G. G. Hatschbach","30097","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambé","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00907597","NY00907597",NA,NA,NA,NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 17:03:36-03","NYBG","NYBG","2423261","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","reticulata","Gaylussacia reticulata","Mart. ex Meisn.","G. O. Romão",NA,"G. O. Romão","855","2002","02","26","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Caminho para o Pico do Itambe","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423261","NY02423261",NA,NA,NA,NA,"1500","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-16 17:55:28-03","NYBG","NYBG","00836608","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens","2012","W. R. Anderson","35703","1972","02","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","South-eastern drainage of Pico de Itambé, about 5 km directly West and North of Santo Antônio de Itambé","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922422 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00836608","NY00836608",NA,NA,NA,NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 16:42:16-03","NYBG","NYBG","02595074","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex",NA,"Ilex",NA,NA,NA,"M. F. Santos","554","2009","02","10","South America","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Próximo ao cume, em Campo Rupestre.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2858237 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02595074","NY02595074","-43.34064","-18.39878","-43.34064","-18.39878","1804","1804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 16:42:16-03","NYBG","NYBG","02595077","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex",NA,"Ilex",NA,NA,NA,"M. F. Santos","553","2009","02","10","South America","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé. Próximo ao cume, em Campo Rupestre.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2858271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02595077","NY02595077","-43.34064","-18.39878","-43.34064","-18.39878","1804","1804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 18:19:58-03","NYBG","NYBG","02703356","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","itambana","Lavoisiera itambana","DC.",NA,NA,"J. R. Pirani","5934","2009","02","10","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Itambé, trilha subindo pela encosta do pico, próximo à Ponte do Rebentão (pequena ponte suspensa)","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3002190 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02703356","NY02703356","-43.34064","-18.39878","-43.34064","-18.39878","1804","1804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 18:19:58-03","NYBG","NYBG","04083613","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","rundeliana","Lavoisiera rundeliana","Almeda & A.B.Martins",NA,NA,"F. Almeda","9667","2009","03","02","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4408132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04083613","NY04083613","-43.34816","-18.39868","-43.34816","-18.39868","1367","2038",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 18:19:58-03","NYBG","NYBG","3909693","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Lavoisiera","vestita","Lavoisiera vestita","Almeda & A.B.Martins",NA,NA,"F. Almeda","9672","2009","03","02","South America","Brazil","Minas Gerais","Santo Antonio do Itambe","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.","Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03909693",NA,"-43.34816","-18.39868","-43.34816","-18.39868","1367","2038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 18:19:58-03","NYBG","NYBG","02098963","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra",NA,"Leandra",NA,NA,NA,"F. Almeda","9685","2009","03","02","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02098963","NY02098963","-43.34816","-18.39868","-43.34816","-18.39868","1367","2038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-16 17:23:25-03","NYBG","NYBG","01055012","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lupinus","attenuatus","Lupinus attenuatus","Gardner","D. B. Dunn","1979","G. G. Hatschbach","30114","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambe","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178481 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01055012","NY01055012",NA,NA,NA,NA,"1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-12-16 16:58:00-03","NYBG","NYBG","470307","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","gonoclada","Maytenus gonoclada","Mart.","L. Biral","2013","W. R. Anderson","35684","1972","02","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","South-eastern drainage of Pico de Itambé, about 5 km directly West and North of Santo Antônio de Itambé","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00470307","NY00470307",NA,NA,NA,NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-16 18:23:30-03","NYBG","NYBG","00924752","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","(Bonpl.) Triana","J. J. Wurdack","1972","G. G. Hatschbach","30091","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambé.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00924752","NY00924752",NA,NA,NA,NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-12-16 18:42:11-03","NYBG","NYBG","00897932","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","cryocephalus","Paepalanthus cryocephalus","Silveira","H. N. Moldenke","1972","G. G. Hatschbach","30113","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambe","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=964350 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00897932","NY00897932",NA,NA,NA,NA,"1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-16 18:42:28-03","NYBG","NYBG","01132119","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","speleicola","Paepalanthus speleicola","(Silveira) M.J.G.Andrade & Giul.","M. L. O. Trovó","2015","N. Hensold","496","1982","02","21","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Ca. 6 km N of town, along foot trail to Pico Itambé.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1290004 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01132119","NY01132119","-43.3056","-18.4139","-43.3056","-18.4139","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-16 18:58:00-03","NYBG","NYBG","00995431","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Paullinia","carpopodea","Paullinia carpopodea","Cambess.",NA,NA,"L. Rossi","CFCR3084","1982","04","06","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Descida do Morro do Pico Itambé","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00995431",NA,"-43.33","-18.43","-43.33","-18.43","3068","3068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-01-06 12:45:23-03","NYBG","NYBG","3909988","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","heteromalla","Tibouchina heteromalla","(D.Don) Cogn.",NA,NA,"F. Almeda","9662","2009","03","02","South America","Brazil","Minas Gerais","Santo Antonio do Itambe","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.","Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451494 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03909988",NA,"-43.34816","-18.39868","-43.34816","-18.39868","1367","2038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-16 18:27:47-03","NYBG","NYBG","01164722","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","trinervia","Tibouchina trinervia","Cogn.","P. Guiamaraes","2010","F. Almeda","9682","2009","03","02","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487613 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01164722","NY01164722","-43.34816","-18.39868","-43.34816","-18.39868","1367","2038",NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-12-16 18:47:33-03","NYBG","NYBG","872625","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","mello-barretoi","Xyris mello-barretoi","L.B.Sm. & Downs","M. das G. L. Wanderley","1988","A. Furlan","CFCR3043","1982","04","05","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Subida ao Pico do Itambé","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946632 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00872625","NY00872625","-43.35","-18.4","-43.35","-18.40","2050","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
