"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus"
"11","2015-07-02 14:03:20-03","JBP","HPL","10549","S","Plantae",NA,NA,NA,"Myrtaceae","Myrciaria",NA,"Myrciaria",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2216","2007","09","26",NA,"Coletado na estrada do Lajeado, casa de Leonardo Aparecido (Zé Condina) - 760 m.s.m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-07-02 14:03:28-03","JBP","HPL","10565","S","Plantae",NA,NA,NA,"Ochnaceae","Ouratea",NA,"Ouratea",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2205","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-07-02 14:03:24-03","JBP","HPL","10572","S","Plantae",NA,NA,NA,"Myrtaceae","Plinia","nana","Plinia nana",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2211","2007","09","26",NA,"Coletado nas proximidades do município de Felício dos Santos, Lajeado, Caminho do Jambreiro, próximo ao Ribeirão Santana; muito comum localmente. (780 m.s.m.)",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji","2007","09","26",NA,NA
"14","2015-07-02 14:03:24-03","JBP","HPL","9499","S","Plantae",NA,NA,NA,"Myrtaceae","Plinia","nana","Plinia nana",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2340","2007","11","29",NA,"Coletado na localidade de Loronha; em área de campo cerrado.",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji","2007","11","29",NA,NA
"15","2015-07-02 14:04:33-03","JBP","HPL","9501","S","Plantae",NA,NA,NA,"Vochysiaceae","Qualea","jundiahy","Qualea jundiahy",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2342","2007","11","29",NA,"Coletado na estrada de terra para Rio Vermelho.",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji",NA,NA,NA,NA,NA
"16","2015-07-02 14:03:42-03","JBP","HPL","10351","S","Plantae",NA,NA,NA,"Phyllanthaceae","Richeria","grandis","Richeria grandis","Vahl","R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2212","2007","09","26",NA,"Coletado nas proximidades do município de Felício dos Santos; ao lado do Ribeirão Santana.",NA,NA,NA,NA,NA,NA,NA,"I. Cordeiro","2009","07","10",NA,NA
"17","2015-07-02 14:03:42-03","JBP","HPL","10592","S","Plantae",NA,NA,NA,"Phyllanthaceae","Richeria","grandis","Richeria grandis","Vahl","R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2212","2007","09","26",NA,"Coletado nas proximidades do município de Felício dos Santos, Lajeado, Caminho do Jambreiro, ao lado do Ribeirão Santana; muito comum localmente. (780 m.s.m.)",NA,NA,NA,NA,NA,NA,NA,"V.C. Souza","2012","09","07",NA,NA
"18","2015-07-02 14:03:42-03","JBP","HPL","9500","S","Plantae",NA,NA,NA,"Phyllanthaceae","Richeria","grandis","Richeria grandis","Vahl","R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2341","2007","11","29",NA,"Coletado nas proximidades do município de Felício dos Santos, sentido Rio Vermelho.",NA,NA,NA,NA,NA,NA,NA,"I. Cordeiro","2009","07","10",NA,NA
"19","2015-07-02 14:04:30-03","JBP","HPL","10563","S","Plantae",NA,NA,NA,"Verbenaceae","Stachytarpheta",NA,"Stachytarpheta",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2203","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-07-02 14:02:41-03","JBP","HPL","10562","S","Plantae",NA,NA,NA,"Malpighiaceae","Stigmaphyllon",NA,"Stigmaphyllon",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2202","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-07-02 14:42:08-03","JBP","HPL","13626","S","Plantae",NA,NA,NA,"Asteraceae",NA,NA,NA,NA,"R. Tsuji","Brasil","MG","Felícios dos Santos",NA,NA,NA,NA,NA,NA,"2218","2007","09","27",NA,"Loronha - Sítio Pai Mateus, proxímo Heitor Bispo. Cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-07-02 14:01:29-03","JBP","HPL","10569","S","Plantae",NA,NA,NA,"Connaraceae",NA,NA,NA,NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2208","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,"G.P. Lewis","2009","12","01",NA,NA
"23","2015-07-02 14:01:55-03","JBP","HPL","10568","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Bionia","coccinea","Bionia coccinea","Mart. ex Benth.","R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2207","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,"V.C. Souza","2012","11","26",NA,NA
"24","2015-07-02 14:01:48-03","JBP","HPL","13625","S","Plantae",NA,NA,NA,"Fabaceae","Calliandra",NA,"Calliandra",NA,"R. Tsuji","Brasil","MG","Felícios dos Santos",NA,NA,NA,NA,NA,NA,"2213","2007","09","26",NA,"Lajeado, caminho do jambreiro, proxímo ao Riberão Santana.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-07-02 14:03:08-03","JBP","HPL","10564","S","Plantae",NA,NA,NA,"Myrtaceae","Campomanesia","adamantium","Campomanesia adamantium",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2204","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji","2007","09","27",NA,NA
"26","2015-07-02 14:01:22-03","JBP","HPL","10567","S","Plantae",NA,NA,NA,"Caryocaraceae","Caryocar","brasiliensis","Caryocar brasiliensis",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2206","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji","2007","09","21",NA,NA
"27","2015-07-02 14:01:57-03","JBP","HPL","10571","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Collaea","speciosa","Collaea speciosa",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2210","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji","2008","10","30",NA,NA
"28","2015-07-02 14:01:58-03","JBP","HPL","10548","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Diplotropis","purpurea","Diplotropis purpurea",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2214","2007","09","26",NA,"Coletado nas proximidades da estrada do Lajeado.",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji","2007","09","26",NA,NA
"29","2015-07-02 14:01:41-03","JBP","HPL","10570","S","Plantae",NA,NA,NA,"Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2209","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji","2007","09","27",NA,NA
"30","2015-07-02 14:01:42-03","JBP","HPL","10560","S","Plantae",NA,NA,NA,"Erythroxylaceae","Erythroxylun",NA,"Erythroxylun",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2199","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-07-02 14:03:26-03","JBP","HPL","10561","S","Plantae",NA,NA,NA,"Nyctaginaceae","Guapira",NA,"Guapira",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2201","2007","09","27",NA,"Coletado na localidade de Noronha, no Sítio Pai Mateus, de propriedade de Heitor Bispo; em área de cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2015-07-02 14:02:21-03","JBP","HPL","10550","S","Plantae",NA,NA,NA,"Hydroleaceae","Hydrolea","spinosa","Hydrolea spinosa","L.","R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2217","2007","09","26",NA,"Coletado na Comunidade Corre-dona, sítio de propriedade da Sra. Maria Rodrigues (sogra de Heitor Bispo).",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji","2007","09","26",NA,NA
"33","2015-07-02 14:02:59-03","JBP","HPL","10751","S","Plantae",NA,NA,NA,"Melastomataceae","Tibouchina","cf. candoleana","Tibouchina cf. candoleana",NA,"R. Tsuji","Brasil","MG","Felício dos Santos","-43.2469","-18.0772","21878",NA,NA,"auto","2215","2007","09","26",NA,"Coletado na estrada do Lajeado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-03-10 08:29:27-03","UFV","VIC","37748","PreservedSpecimen","Plantae",NA,NA,NA,"Mimosoideae","Piptadenia",NA,"Piptadenia",NA,"Costa, F.N.; et al.","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878",NA,NA,"auto","374","2002","06","18",NA,"Comunidade de Cotó, Cerrado.",NA,NA,NA,NA,NA,"VIC037748",NA,NA,NA,NA,NA,NA,NA
"35","2020-03-10 08:29:24-03","UFV","VIC","35326","PreservedSpecimen","Plantae",NA,NA,NA,"Mimosoideae","Mimosa","aurivillus","Mimosa aurivillus aurivillus",NA,"Costa, F.N.; et al.","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"Arbusto, c.a. de 1,5 metros de altura. Ramos ferrugíneos.","auto","433","2002","06","19",NA,"Comunidade do Gavião, Trilha para Serra do Sumidouro, próximo à Serra do Gavião. Transição entre mata de encosta e campo rupestre. Solo areno-pedregoso.",NA,NA,NA,NA,NA,"VIC035326","VIC035326","Dutra, V.F.","2007","08","09","aurivillus",NA
"36","2020-03-26 11:50:01-03","UFOPA","HSTM","5912","PreservedSpecimen","Plantae",NA,NA,NA,"Solanaceae","Solanum","sellowianum","Solanum sellowianum","Sendtn.","Viana, P.L.; Sobral, M.; Antunes, K.; Bisbo, H.; Bispo, F.","Brasil","Minas Gerais","Felício dos Santos","-43.25","-18.216667",NA,NA,NA,NA,"2850","2006","11","15",NA,"Cachoeira do Sumidouro.","43º15'0''W","18º13'0''S","1200","1200",NA,"HSTM005912",NA,"Giacomin, L.L.; Tovar, J.D.; Gomes, E.",NA,NA,NA,NA,NA
"37","2020-03-26 11:50:01-03","UFOPA","HSTM","5911","PreservedSpecimen","Plantae",NA,NA,NA,"Solanaceae","Solanum","sellowianum","Solanum sellowianum","Sendtn.","Viana, P.L.; Mota, N.F.O.; Giorni, V.; Novaes, R.M.L.","Brasil","Minas Gerais","Felício dos Santos","-43.466667","-18.283333",NA,NA,NA,NA,"3674","2008","08","29",NA,"APA Felício. Mata do Isodoro e arredores.","43º28'0''W","18º16'60''S","1320","1320",NA,"HSTM005911",NA,"Giacomin, L.L.; Tovar, J.D.; Gomes, E.",NA,NA,NA,NA,NA
"38","2019-11-21 14:48:17-03","UFJF","CESJ","52049","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Verbenaceae","Lippia","spiraeastrum","Lippia spiraeastrum","(Mart. & Schauer) T.R.S. Silva","F.R.G. Salimena; et al.","Brasil","Minas Gerais","Felício dos Santos","-43.289111","-18.144944",NA,NA,"Interior do tubo laranja.",NA,"1382","2006","06","10","América do Sul","APA Felício","-43.289111","-18.144944",NA,NA,NA,"CESJ052049",NA,"F.R.G. Salimena","2012","06",NA,NA,NA
"39","2019-11-21 14:47:50-03","UFJF","CESJ","52044","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Verbenaceae","Lippia","gracilis","Lippia gracilis","Schau.","F.R.G. Salimena; et al.","Brasil","Minas Gerais","Felício dos Santos","-43.32225","-18.141583",NA,NA,"Flores alvas.",NA,"1380","2006","06","10","América do Sul","APA Felício","-43.32225","-18.141583",NA,NA,NA,"CESJ052044",NA,"F.R.G. Salimena","2006","06",NA,NA,NA
"40","2019-11-21 14:47:50-03","UFJF","CESJ","52048","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Verbenaceae","Lippia","hederifolia","Lippia hederifolia","Mart. & Schauer","F.R.G. Salimena; et al.","Brasil","Minas Gerais","Felício dos Santos","-43.288528","-18.135861",NA,NA,"Flores róseas.",NA,"1379","2006","06","10","América do Sul","APA Felício","-43.288528","-18.135861",NA,NA,NA,"CESJ052048",NA,"F.R.G. Salimena","2006","06",NA,NA,NA
"41","2019-11-21 14:47:50-03","UFJF","CESJ","52051","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Verbenaceae","Lippia","hermannioides","Lippia hermannioides","Cham.","F.R.G. Salimena; et al.","Brasil","Minas Gerais","Felício dos Santos","-43.289139","-18.144972",NA,NA,NA,NA,"1381","2006","06","10","América do Sul","APA Felício","-43.289139","-18.144972",NA,NA,NA,"CESJ052051",NA,"F.R.G. Salimena","2006","06",NA,NA,NA
"42","2019-11-21 14:48:06-03","UFJF","CESJ","52046","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Verbenaceae","Lippia","pseudothea","Lippia pseudothea","(A. St.-Hil.) Schauer","F.R.G. Salimena; et al.","Brasil","Minas Gerais","Felício dos Santos","-43.294361","-18.172417",NA,NA,"Campo rupestre.",NA,"1384","2006","06","10","América do Sul","APA Felício","-43.294361","-18.172417",NA,NA,NA,"CESJ052046",NA,"F.R.G. Salimena","2006","06",NA,NA,NA
"43","2019-11-21 14:48:06-03","UFJF","CESJ","52043","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","F.R.G. Salimena; et al.","Brasil","Minas Gerais","Felício dos Santos","-43.29225","-18.18275",NA,NA,"Arbusto em campo rupestre. Flores com tubo roxo e interior roxo.",NA,"1385","2006","06","10","América do Sul","APA Felício","-43.29225","-18.18275",NA,NA,NA,"CESJ052043",NA,"F.R.G. Salimena","2006","06",NA,NA,NA
"44","2019-11-21 14:41:22-03","UFJF","CESJ","47292","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Phyllanthaceae","Phyllanthus","klotzschianus","Phyllanthus klotzschianus","Müll.Arg.","P.L. Viana; F.R.G. Salimena; T.U.P. Konno; L. Menini Neto","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"Subarbusto em campo rupestre com cladódios verde claros. Flores creme. Frutos imaturos verdes.","auto","2127","2006","06","11","América do Sul","em direção à mata do Isidoro",NA,NA,NA,NA,NA,"CESJ047292",NA,"P.L. Viana",NA,NA,NA,NA,NA
"45","2019-11-21 14:40:45-03","UFJF","CESJ","47685","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Eurystyles","cotyledon","Eurystyles cotyledon","Wawra","L. Menini Neto; F.R.G. Salimena; T.U.P. Konno; P.L. Viana","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"Erva epífita, em interior de mata, próximo ao curso d'água. Folhas verde-claras, lustrosas, pedúnculo e brácteas verde claros, flores alvas.","auto","198","2006","06","10","América do Sul","Serra do Isidoro (Serra do Gavião), Várzea das Antas.",NA,NA,NA,NA,NA,"CESJ047685",NA,"C.R. Buzzatto","2014","03",NA,NA,NA
"46","2019-11-21 14:30:21-03","UFJF","CESJ","47827","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Apocynaceae","Ditassa","aequicymosa","Ditassa aequicymosa","E. Fourn","T.U.P. Konno; P.L. Viana; F.R.G. Salimena; L. Menini Neto","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"heliófila, Arbusto 1m. ramos volúveis. folhas membranaceas. flor com corola amarela. pouco frequente","auto","877","2006","06","10","América do Sul","subida para a lapa do isidoro, 18º 11' S e 43º 17' W",NA,NA,NA,NA,NA,"CESJ047827","CESJ047827",NA,NA,NA,NA,NA,NA
"47","2019-11-21 14:30:22-03","UFJF","CESJ","47826","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Apocynaceae","Hemipogon",NA,"Hemipogon",NA,"T.U.P. Konno; P.L. Viana; F.R.G. Salimena; L. Menini Neto","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"Heliófila, Trepadeira lactescente, folha filiforme, membranacea, Inflr. pêndula, flor com corola urceolada, acastanhada na base e lacínias alvas. fruto imaturo verde.","auto","876","2006","06","10","América do Sul","subida para a Lapa do Isidoro. 18º 11' S e 43º 17' W.",NA,NA,NA,NA,NA,"CESJ047826","CESJ047826",NA,NA,NA,NA,NA,NA
"48","2019-11-21 14:30:41-03","UFJF","CESJ","47828","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Apocynaceae","Minaria","decussata","Minaria decussata","(Mart.) T.U.P. Konno & Rapini","T.U.P. Konno; P.L. Viana; F.R.G. Salimena; L. Menini Neto","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"heliófila, arbusto lactescente 30cm. ramos eretos ou decumbentes. Folha cartacee. flor com corola amarela. comum","auto","878","2006","06","10","América do Sul","subida para a lapa do isidoro, deepois da última faixa de mata, na vegetação de campo rupestre.",NA,NA,NA,NA,NA,"CESJ047828","CESJ047828","L.C.Pereira","2011","08","18",NA,NA
"49","2019-11-21 14:30:44-03","UFJF","CESJ","47823","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Apocynaceae","Temnadenia","violacea","Temnadenia violacea","(Vell.) Miers","T.U.P. Konno; P.L. Viana; F.R.G. Salimena; L. Menini Neto","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"Heliófila, trepadeira, latescente, folhas cartáceas, infl. cimosa, flores com cálice verde e corola alva","auto","873","2006","06","10","América do Sul","Vau da Costa, Subida para a Lapa do Isidoro, na margem da estrada do cascalho. 18º 08' S e 43º 16' W",NA,NA,NA,NA,NA,"CESJ047823","CESJ047823","C.N. Matozinhos","2006","09",NA,NA,NA
"50","2019-11-21 14:30:41-03","UFJF","CESJ","47821","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Apocynaceae","Minaria","acerosa","Minaria acerosa","(Mart.) T.U.P. Konno & Rapini","T.U.P. Konno; P.L. Viana; F.R.G. Salimena; L. Menini Neto","Brasil","Minas Gerais","Felicio dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"Heliófila, Arbusto Lactescente, ramos eretos e volúveis. Folhas aciculares, cartáceceas. Flores com corola amarela.","auto","871","2006","06","10","América do Sul","Vau do Costa, subida para a lapa do Isidoro, na margemn da estrada de cascalho. 18º 08'S e 43º 16' W",NA,NA,NA,NA,NA,"CESJ047821","CESJ047821","T.U.P. Konno","2006","06",NA,NA,NA
"51","2019-11-21 14:40:58-03","UFJF","CESJ","48807","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Pleurothallis","graveolens","Pleurothallis graveolens","Pabst","L. Menini Neto; F.R.G. Salimena; T.U.P. Konno; P.L. Viana","Brasil","Minas Gerais","Felício dos Santos","-43.246898651123","-18.0771999359131","21878",NA,"Erva rupícola, em fenda de rocha. Folha fortemente carnosa, discolor, face abaxial vinácea, pedúnculo vináceo, sépalas ferrugíneas, pétalas creme, ápice ferrugíneo, labelo creme, ápice ferrugíneo, coluna creme. Floresceu em cultivo em XI.2006.","auto","238","2006","06",NA,"América do Sul","APA Felício",NA,NA,NA,NA,NA,"CESJ048807",NA,"L. Menini Neto","2006","11",NA,NA,NA
