"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","infraspecificEpithet","continentOcean","barcode","imagecode","verbatimLongitude","verbatimLatitude","preparationType","individualCount","phylum"
"11","2019-06-27 15:34:17-03","Cenargen","CEN","35891","S","Plantae","Fabaceae Faboideae","Canavalia",NA,"Canavalia",NA,NA,NA,NA,NA,"Glocimar Pereira-Silva","277","1981","08","03","Brasil","MG","AGUA BOA","Reserva Indígena de Posto Indígena Rio das Mortes a 18 km da BR-198","-52.01667","-13.98333",NA,"500","500",NA,NA,NA,NA,"CEN00035891","CEN00035891","-52.01667","-13.98333","Exsicatas","4",NA
"12","2019-06-27 15:34:18-03","Cenargen","CEN","35889","S","Plantae","Fabaceae Faboideae","Centrosema",NA,"Centrosema",NA,NA,NA,NA,NA,"Glocimar Pereira-Silva","275","1981","08","03","Brasil","MG","AGUA BOA","Reserva Indígena de Posto Indígena Rio das Mortes a 18 km da BR-198","-52.01667","-13.98333",NA,"500","500",NA,NA,NA,NA,"CEN00035889","CEN00035889","-52.01667","-13.98333","Exsicatas","4",NA
"13","2018-10-26 11:50:18-03","Cenargen","CEN","35886","S","Plantae","Fabaceae Faboideae","Centrosema",NA,"Centrosema",NA,NA,NA,NA,NA,"Glocimar Pereira-Silva","272","1981","08","03","Brasil","MG","AGUA BOA","Reserva Indígena de Posto Indígena Rio das Mortes a 18 km da BR-198","-52.01667","-13.98333",NA,"500","500","CIAT 5807.",NA,NA,NA,"CEN00035886","CEN00035886","-52.01667","-13.98333","Exsicatas","4",NA
"14","2019-06-27 15:34:28-03","Cenargen","CEN","35893","S","Plantae","Fabaceae Faboideae","Cratylia","argentea","Cratylia argentea","(Desv.) Kuntze",NA,NA,NA,NA,"Glocimar Pereira-Silva","279","1981","08","03","Brasil","MG","AGUA BOA","Reserva Indígena de Posto Indígena Rio das Mortes a 18 km da BR-198","-52.01667","-13.98333",NA,"500","500",NA,NA,NA,NA,"CEN00035893","CEN00035893","-52.01667","-13.98333","Exsicatas","4",NA
"15","2019-06-27 15:41:14-03","Cenargen","CEN","35890","S","Plantae","Poaceae","Guadua","paniculata","Guadua paniculata","Munro","Filgueiras & Santos-Gonçalves","2004","10",NA,"Glocimar Pereira-Silva","276","1981","08","03","Brasil","MG","AGUA BOA","Reserva Indígena de Posto Indígena Rio das Mortes a 18 km da BR-198","-52.01667","-13.98333",NA,"500","500",NA,NA,NA,NA,"CEN00035890","CEN00035890 CEN00035890_1","-52.01667","-13.98333","Exsicatas","4",NA
"16","2018-10-26 12:03:42-03","Cenargen","CEN","35895","S","Plantae","Poaceae","Ichnanthus","calvescens","Ichnanthus calvescens","(Nees ex Trin.) Döll","C. Silva",NA,NA,NA,"Glocimar Pereira-Silva","281","1981","08","03","Brasil","MG","AGUA BOA","Reserva Indígena de Posto Indígena Rio das Mortes a 18 km da BR-198","-52.01667","-13.98333",NA,"500","500","Panicum sect. Lorea.",NA,NA,NA,"CEN00035895","CEN00035895","-52.01667","-13.98333","Exsicatas","4",NA
"17","2018-10-26 12:06:01-03","Cenargen","CEN","27101","S","Plantae","Polygalaceae","Polygala","cf. adenophora","Polygala cf. adenophora","DC.","J. F. B. Pastore",NA,NA,NA,"Taciana Barbosa Cavalcanti","2349","1997","06","15","Brasil","MG","AGUA BOA","BR 158, Nova Xavantina-Água Boa,42 km de Nova Xavantina.","-52.22806","-14.41139",NA,"385","385","Erva crescendo em solo encharcado.",NA,NA,NA,"CEN00027101","CEN00027101","-52.22806","-14.41139","Exsicatas","1",NA
"18","2018-10-26 11:57:30-03","Cenargen","CEN","27170","S","Plantae","Malvaceae","Helicteres","corylifolia","Helicteres corylifolia","Nees & Mart.","B. M. T. Walter",NA,NA,NA,"Wantuil Linhares Werneck","921","1997","01","16","Brasil","MG","AGUA BOA","90 Km ao norte de Formosa","-42.3889007568359","-17.9960994720459","43846","500","500","Ramos basais com mais ou menos 45 cm de diâmetro.","auto",NA,NA,"CEN00027170","CEN00027170",NA,NA,"Exsicatas","8",NA
"19","2019-06-27 15:38:42-03","Cenargen","CEN","27171","S","Plantae","Malvaceae","Helicteres","sacarolha","Helicteres sacarolha","A.St.-Hil., A.Juss. & Cambess.","B. M. T. Walter","2006","11",NA,"Wantuil Linhares Werneck","922","1997","01","16","Brasil","MG","AGUA BOA","90 Km ao norte de Formosa","-42.3889007568359","-17.9960994720459","43846","500","500",NA,"auto",NA,NA,"CEN00027171","CEN00027171",NA,NA,"Exsicatas","4",NA
"20","2019-06-27 15:38:41-03","Cenargen","CEN","27168","S","Plantae","Malvaceae","Cienfuegosia","affinis","Cienfuegosia affinis","(Kunth) Hochr.","A. Krapovickas",NA,NA,NA,"Wantuil Linhares Werneck","919","1997","01","16","Brasil","MG","AGUA BOA","Em frente a entrada da destilaria de álcool. Cerca de 85 km a Norte de Formosa","-42.3889007568359","-17.9960994720459","43846","500","500",NA,"auto",NA,NA,"CEN00027168","CEN00027168",NA,NA,"Exsicatas",NA,NA
"21","2019-06-27 15:33:00-03","Cenargen","CEN","27169","S","Plantae","Euphorbiaceae","Manihot","pruinosa","Manihot pruinosa","Pohl","M. Martins","2013","04",NA,"Wantuil Linhares Werneck","920","1997","01","16","Brasil","MG","AGUA BOA","Em frente a entrada da destilaria de álcool. Mais ou menos 85 Km a norte de Formosa","-42.3889007568359","-17.9960994720459","43846","500","500",NA,"auto",NA,NA,"CEN00027169","CEN00027169",NA,NA,"Exsicatas","5",NA
"22","2019-06-27 15:41:08-03","Cenargen","CEN","35898","S","Plantae","Poaceae","Digitaria","fuscescens","Digitaria fuscescens","(J.Presl) Henrard","G. H. Rua","2005","09",NA,"Glocimar Pereira-Silva","292","1981","08","05","Brasil","MG","AGUA BOA","Reserva Areges km 16 em direção à BR-158","-42.3889007568359","-17.9960994720459","43846",NA,NA,NA,"auto",NA,NA,"CEN00035898","CEN00035898",NA,NA,"Exsicatas","4",NA
"23","2019-06-27 15:35:23-03","Cenargen","CEN","35899","S","Plantae","Fabaceae Faboideae","Stylosanthes","guianensis","Stylosanthes guianensis","(Aubl.) Swart",NA,NA,NA,NA,"Glocimar Pereira-Silva","293","1981","08","05","Brasil","MG","AGUA BOA","Reserva Areges km 16 em direção à BR-158","-42.3889007568359","-17.9960994720459","43846",NA,NA,NA,"auto",NA,NA,"CEN00035899","CEN00035899",NA,NA,"Exsicatas","4",NA
"24","2019-06-27 15:42:18-03","Cenargen","CEN","35896","S","Plantae","Polygalaceae","Securidaca",NA,"Securidaca",NA,NA,NA,NA,NA,"Glocimar Pereira-Silva","290","1981","08","04","Brasil","MG","AGUA BOA","Reserva Areges km 16 em direção à BR-158","-42.3889007568359","-17.9960994720459","43846",NA,NA,NA,"auto",NA,NA,"CEN00035896","CEN00035896",NA,NA,"Exsicatas","4",NA
"25","2019-06-27 15:33:37-03","Cenargen","CEN","35897","S","Plantae","Fabaceae Caesalp.","Phanera","anamesa","Phanera anamesa","(J.F.Macbr.) Vaz","L. P. Queiroz","2011","12",NA,"Glocimar Pereira-Silva","291","1981","08","05","Brasil","MG","AGUA BOA","Reserva Areges km 16 em direção à BR-158.","-42.3889007568359","-17.9960994720459","43846",NA,NA,NA,"auto",NA,NA,"CEN00035897","CEN00035897",NA,NA,"Exsicatas","4",NA
"26","2017-03-27 17:48:14-03","UnB","UB","152241","S","Plantae","Loranthaceae","Struthanthus",NA,"Struthanthus",NA,"Caires, CS",NA,NA,NA,"Windisch, PG; et al.","7162","1992","10","23","Brasil","Minas Gerais","Água Boa","Bacia do Rio Araguaia, ca. de 120 km do Rio Araguaia","-42.39","-18",NA,"300","300","Mata, margem da estrada, parasita, flores brancas",NA,NA,"Southern America",NA,NA,"-42.39","-18",NA,NA,"Dicotyledoneae"
"27","2016-09-19 16:28:09-03","UnB","UB","6119","S","Plantae","Iridaceae","Sisyrinchium","restioides","Sisyrinchium restioides","Spreng","Henrich, JE; Goldblatt, P",NA,NA,NA,"Irwin, HS; Santos, RR; Souza, R; Fonsêca, SF","23916","1969","02","25","Brasil","Minas Gerais","Água Boa","3 Km SE de Água Boa na estrada para Jequitaí","-42.3889007568359","-17.9960994720459","43846","950","950","Flores abrindo a tarde.; Erva 0,3m. Flor amarela; Cerrado. Topologia: Colina.","auto",NA,"Southern America","UB0014504","UB0014504",NA,NA,NA,NA,"Monocotyledonae"
